personName,W,minutes
Jeremy Sochan,4,107.43333333333334
Jeremy Tyler,5,32.74666666666667
Jerian Grant,6,121.25730706075534
Jericho Sims,3,41.05322957932466
Jermaine O'Neal,5,99.55657691981222
Jermaine Taylor,2,18.691111111111113
Jerome Dyson,1,15.763888888888891
Jerome Robinson,6,81.6173204492525
Jerry Stackhouse,3,27.771805555555556
Jerryd Bayless,11,238.02018308851643
Jevon Carter,7,107.61363725405468
Jianlian Yi,2,23.402614379084966
Jimmer Fredette,7,71.05392592592592
Jimmy Butler,24,770.0826962398734
Joakim Noah,13,325.8228773133185
Jock Landale,4,55.3065873015873
Jodie Meeks,10,219.39735520285464
Joe Harris,16,375.04496175879456
Joe Ingles,16,384.2172036415613
Joe Johnson,15,439.48108478954384
Joe Smith,2,10.171212121212122
Joe Young,3,23.142380256196045
Joel Anthony,10,106.4008821393242
Joel Embiid,9,276.82618038279696
Joel Freeland,3,34.76879173290938
Joel Przybilla,3,39.12222222222222
Joey Dorsey,3,33.29523809523809
Joey Graham,1,15.427777777777777
Joffrey Lauvergne,7,79.60339826839827
Johan Petro,5,59.635876068376064
John Butler Jr.,1,5.7375
John Collins,11,308.03584974053723
John Henson,13,253.45333493589743
John Jenkins,10,99.60735449735449
John Konchar,10,178.28863275613276
John Lucas III,6,61.247261396011396
John Salmons,7,187.43261303071364
John Wall,11,371.40461170630795
Johnathan Motley,3,19.820833333333333
Johnathan Williams,2,26.51142857142857
Johnny Davis,4,43.793055555555554
Johnny Juzang,4,61.94166666666666
Johnny O'Bryant III,5,57.48359477124183
Jon Brockman,4,28.72222222222222
Jon Leuer,10,121.00707680119444
Jonah Bolden,4,53.43083333333333
Jonas Jerebko,13,210.73602984515483
Jonas Valanciunas,13,334.2574006396962
Jonathan Isaac,6,125.46104498883912
Jonathan Kuminga,3,61.468620414673055
Jonathon Simmons,9,179.51111772486772
Jonny Flynn,3,45.13055555555555
Jontay Porter,2,15.41468253968254
Jordan Bell,8,81.48505060728745
Jordan Clarkson,12,332.3441643518986
Jordan Crawford,9,187.63044871794872
Jordan Farmar,6,118.50495600414078
Jordan Goodwin,4,57.48596837944664
Jordan Hamilton,10,133.44572853072853
Jordan Hawkins,1,16.062280701754386
Jordan Hill,15,255.40343420060333
Jordan McLaughlin,5,78.66219937469937
Jordan McRae,7,87.17139804639804
Jordan Mickey,4,36.569708994708996
Jordan Nwora,9,123.39752325890484
Jordan Poole,9,236.082336788507
Jordan Walsh,1,9.274074074074074
Jordan Williams,1,16.216666666666665
Jorge Gutierrez,4,32.541435185185186
Jose Alvarado,3,57.04290643274854
Jose Calderon,11,274.61673306339253
Josh Childress,6,77.39472222222221
Josh Christopher,4,54.86237762237762
Josh Giddey,3,87.52286414565826
Josh Green,8,164.61995115629983
Josh Hall,1,31.85
Josh Harrellson,4,36.87598039215686
Josh Hart,14,403.8679928763269
Josh Howard,3,63.86666666666667
Josh Huestis,2,20.889147286821707
Josh Jackson,9,200.16330266955265
Josh McRoberts,9,171.86199974680366
Josh Okogie,10,184.6036373899203
Josh Richardson,18,495.997170298837
Josh Smith,10,265.0633190240106
Joshua Primo,4,66.58972222222222
Jrue Holiday,17,556.6448052408334
Juan Toscano-Anderson,8,126.14713282748997
Juancho Hernangomez,12,170.59501639199007
Julian Champagnie,3,47.70368421052632
Julian Washburn,1,15.214285714285714
Julian Wright,1,17.07777777777778
Julius Randle,13,385.14599378325227
Julyan Stone,5,39.964629629629634
Justin Anderson,9,140.10316416381366
Justin Champagnie,4,36.78214285714286
Justin Hamilton,6,78.82851851851851
Justin Holiday,24,534.3418832104363
Justin Jackson,11,152.33121478829813
Justin Minaya,1,14.222222222222221
Justin Patton,3,14.6
Justise Winslow,14,383.257872858136
Jusuf Nurkic,11,268.91149122174124
Juwan Howard,3,23.054429678848283
KJ Martin,2,25.268817204301072
KJ McDaniels,6,93.31360241066125
KZ Okpala,6,56.68437306501548
Kadeem Allen,3,35.74444444444445
Karl-Anthony Towns,12,406.6937170577221
Kawhi Leonard,16,487.53106414819905
Keegan Murray,2,64.16459673428996
Keifer Sykes,1,17.530555555555555
Keita Bates-Diop,11,133.39150834246743
Keith Bogans,5,83.46436432637572
Kelan Martin,4,42.43333333333333
Keldon Johnson,8,244.07447916666666
Keljin Blevins,2,8.447727272727272
Kelly Olynyk,26,620.1901908846015
Kelly Oubre Jr.,14,380.6991053057084
Kemba Walker,12,372.2630902812335
Kendall Marshall,4,74.01706349206349
Kendrick Nunn,4,87.41397636115377
Kendrick Perkins,8,162.20421383859352
Kenneth Faried,14,306.48394544652876
Kenneth Lofton Jr.,4,45.58333333333333
Kenrich Williams,14,290.2848246381886
Kent Bazemore,21,424.4827948875743
Kentavious Caldwell-Pope,13,384.01835632483665
Kenyon Martin,6,126.39454197684037
Kenyon Martin Jr.,4,80.67182615629984
Keon Ellis,2,19.3501443001443
Keon Johnson,3,31.942735042735045
Kessler Edwards,6,59.28550830889541
Kevin Durant,14,497.2358393446147
Kevin Garnett,10,248.6175552074631
Kevin Huerter,12,350.6982872044735
Kevin Knox II,10,144.54079710144927
Kevin Love,21,606.8326224803119
Kevin Martin,7,196.97279867427895
Kevin Pangos,1,5.725
Kevin Porter Jr.,4,124.23219907407407
Kevin Seraphin,11,170.36807015099063
Kevon Looney,12,183.09111092181098
Keyon Dooling,3,48.30504884004884
Keyonte George,1,24.267283950617283
Khem Birch,12,197.20801256613757
Khris Middleton,18,511.8072885613296
Khyri Thomas,3,38.833333333333336
Killian Hayes,4,99.25962301587302
Killian Tillie,2,25.729629629629628
Kirk Hinrich,8,191.79573739152687
Klay Thompson,13,413.33804689522043
Kobe Bryant,7,247.62049145299144
Kobi Simmons,2,29.355555555555554
Kosta Koufos,18,301.8116100692285
Kostas Papanikolaou,2,33.576652298850576
Kris Dunn,9,206.52660714285713
Kris Humphries,11,222.88440556675852
Kris Murray,2,43.21666666666667
Kristaps Porzingis,15,436.740556001969
Kurt Thomas,5,85.35881916329285
Kwame Brown,3,56.30493827160494
Ky Bowman,1,22.257407407407406
Kyle Anderson,16,340.9215046457792
Kyle Collinsworth,1,13.387037037037038
Kyle Korver,21,511.9305409681873
Kyle Kuzma,11,346.6495263337397
Kyle Lowry,15,491.8359403885669
Kyle O'Quinn,14,194.76816433566432
Kyle Singler,10,207.98524775801795
Kyrie Irving,14,477.8654390714177
Kyrylo Fesenko,2,14.304789272030652
LaMarcus Aldridge,20,663.0379249508115
LaMelo Ball,4,130.5159818442427
Lamar Odom,3,72.79223276605492
