personName,teamName,season_year,position,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
Danny Granger,Pacers,2012-13,F,14.733333333333334,2.0,7.0,28.57142857142857,0.4,2.0,20.0,1.0,1.6,62.5,0.6,1.2,1.8,0.6,0.4,0.2,0.8,1.2,5.4,-3.2
Danny Granger,Pacers,2013-14,F,21.904166666666665,2.75,7.607142857142857,36.15023474178404,1.1071428571428572,3.3214285714285716,33.33333333333333,1.7857142857142858,1.8571428571428572,96.15384615384616,0.8214285714285714,2.7142857142857144,3.5357142857142856,1.0714285714285714,0.32142857142857145,0.39285714285714285,1.25,1.4285714285714286,8.392857142857142,3.4285714285714284
Danny Granger,Pacers,2013-14,G,40.166666666666664,3.0,10.0,30.0,0.0,1.0,0.0,1.0,1.0,100.0,1.0,5.0,6.0,3.0,0.0,2.0,1.0,1.0,7.0,21.0
Danny Green,76ers,2020-21,F,27.955223880597014,3.2238805970149254,7.835820895522388,41.14285714285714,2.537313432835821,6.268656716417911,40.476190476190474,0.4626865671641791,0.5970149253731343,77.5,0.7761194029850746,2.970149253731343,3.746268656716418,1.6865671641791045,1.373134328358209,0.8208955223880597,0.9850746268656716,1.8059701492537314,9.447761194029852,4.940298507462686
Danny Green,76ers,2020-21,G,30.683333333333334,4.0,9.5,42.10526315789473,2.5,6.0,41.66666666666667,0.0,0.0,0.0,1.5,3.0,4.5,2.5,0.0,0.5,0.5,2.0,10.5,-10.0
Danny Green,76ers,2021-22,F,21.554088050314462,2.0754716981132075,5.113207547169812,40.59040590405903,1.6603773584905661,4.264150943396227,38.93805309734513,0.20754716981132076,0.2641509433962264,78.57142857142858,0.41509433962264153,1.9622641509433962,2.3773584905660377,0.9811320754716981,0.8301886792452831,0.6037735849056604,0.7924528301886793,1.6037735849056605,6.018867924528302,1.679245283018868
Danny Green,76ers,2021-22,G,23.451851851851853,1.7777777777777777,5.444444444444445,32.6530612244898,1.6666666666666667,5.0,33.333333333333336,0.0,0.0,0.0,1.1111111111111112,2.3333333333333335,3.4444444444444446,1.3333333333333333,1.7777777777777777,0.5555555555555556,0.3333333333333333,2.2222222222222223,5.222222222222222,-1.0
Danny Green,76ers,2023-24,F,9.225,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0
Danny Green,Cavaliers,2022-23,G,11.902083333333334,2.375,4.75,50.0,1.625,3.625,44.827586206896555,0.125,0.125,100.0,0.25,1.0,1.25,0.5,0.625,0.375,0.875,1.25,6.5,-1.75
Danny Green,Grizzlies,2022-23,G,14.5,1.0,3.6666666666666665,27.272727272727277,1.0,2.6666666666666665,37.5,0.0,0.0,0.0,0.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,1.0,2.0,3.0,-1.0
Danny Green,Lakers,2019-20,F,18.333333333333336,0.5,2.5,20.0,0.5,1.5,33.33333333333333,1.0,1.5,66.66666666666666,0.5,1.5,2.0,1.5,0.0,0.0,1.0,1.5,2.5,0.5
